target,variable,correlation,abs_correlation
new_possessions_units,stock_possessions_units,0.9793547509426952,0.9793547509426952
new_possessions_units,total_arrears_rate_pct,0.9760786324979228,0.9760786324979228
new_possessions_units,serious_arrears_rate_pct,0.9690030353606329,0.9690030353606329
new_possessions_units,fixed_rate_share_pct,-0.91581084331025,0.91581084331025
new_possessions_units,gross_advances_gbp_m,-0.8082387842799643,0.8082387842799643
new_possessions_units,ltv_gt_95_pct,0.7708824005318281,0.7708824005318281
new_possessions_units,residential_loans_outstanding_gbp_m,-0.7532928292817885,0.7532928292817885
new_possessions_units,new_commitments_gbp_m,-0.7531838049220135,0.7531838049220135
serious_arrears_rate_pct,total_arrears_rate_pct,0.9967505017108529,0.9967505017108529
serious_arrears_rate_pct,stock_possessions_units,0.9795715306492279,0.9795715306492279
serious_arrears_rate_pct,new_possessions_units,0.9690030353606329,0.9690030353606329
serious_arrears_rate_pct,fixed_rate_share_pct,-0.9255918198773408,0.9255918198773408
serious_arrears_rate_pct,gross_advances_gbp_m,-0.8423821563857504,0.8423821563857504
serious_arrears_rate_pct,new_commitments_gbp_m,-0.7739031646955052,0.7739031646955052
serious_arrears_rate_pct,ltv_gt_95_pct,0.767929483261073,0.767929483261073
serious_arrears_rate_pct,residential_loans_outstanding_gbp_m,-0.714816185195195,0.714816185195195
total_arrears_rate_pct,serious_arrears_rate_pct,0.9967505017108529,0.9967505017108529
total_arrears_rate_pct,stock_possessions_units,0.9762492835659384,0.9762492835659384
total_arrears_rate_pct,new_possessions_units,0.9760786324979228,0.9760786324979228
total_arrears_rate_pct,fixed_rate_share_pct,-0.9302898637054801,0.9302898637054801
total_arrears_rate_pct,gross_advances_gbp_m,-0.8518565276491972,0.8518565276491972
total_arrears_rate_pct,new_commitments_gbp_m,-0.7865924866533951,0.7865924866533951
total_arrears_rate_pct,ltv_gt_95_pct,0.7805048141022257,0.7805048141022257
total_arrears_rate_pct,residential_loans_outstanding_gbp_m,-0.7599938122968072,0.7599938122968072
